path,subtype,y,S1,S2,S3
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame005.jpg,Flexiblemask,1,34.17689,0.000125,0.88642
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame008.jpg,Flexiblemask,1,34.07783,0.000122,0.88493
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame009.jpg,Flexiblemask,1,34.17409,0.000122,0.88840
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame003.jpg,Flexiblemask,1,34.47167,0.000123,0.88654
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame010.jpg,Flexiblemask,1,34.52467,0.000126,0.88370
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame004.jpg,Flexiblemask,1,33.38956,0.000124,0.88408
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame011.jpg,Flexiblemask,1,33.96099,0.000127,0.88215
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame006.jpg,Flexiblemask,1,34.33655,0.000124,0.88616
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame000.jpg,Flexiblemask,1,33.75127,0.000126,0.88677
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame007.jpg,Flexiblemask,1,34.18303,0.000125,0.88498
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame001.jpg,Flexiblemask,1,34.62808,0.000122,0.88474
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-41d0f6e9/frame002.jpg,Flexiblemask,1,34.23991,0.000122,0.88039
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-5b5f2377/frame005.jpg,Flexiblemask,1,32.16226,0.000129,0.89373
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-5b5f2377/frame008.jpg,Flexiblemask,1,31.70440,0.000128,0.89359
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-5b5f2377/frame009.jpg,Flexiblemask,1,32.30219,0.000130,0.89317
/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_01_0001_0000_06_01_001-5b5f2377/frame003.jpg,Flexiblemask,1,31.62500,0.000126,0.89388
